name,first_name,last_name,price,above_100
William Dixon,William,Dixon,109.03727959999999,true
Kristen Horn,Kristen,Horn,262.5246522,true
Kimberly Chang,Kimberly,Chang,187.00725830000002,true
Mary Ball,Mary,Ball,283.1746476,true
Benjamin Craig,Benjamin,Craig,143.87158169999998,true
Cathy Werner,Cathy,Werner,61.50899135,
Brandon Bell,Brandon,Bell,48.6373091,
Paul Farley,Paul,Farley,12.38946479,
Sarah Mcdaniel,Sarah,Mcdaniel,151.5954472,true
Caroline Anderson,Caroline,Anderson,75.62152103,
Carl Jones,Carl,Jones,147.0294047,true
Scott Lee,Scott,Lee,244.18565269999996,true
Kaylee Coleman,Kaylee,Coleman,17.86427032,
Charles Parker,Charles,Parker,215.537283,true
Susan Hess,Susan,Hess,38.35997063,
Kiara Collier,Kiara,Collier,204.1825486,true
Mr. Scott Martinez,Scott,Martinez,165.8514289,true
Christopher Ortega,Christopher,Ortega,30.30144506,
Michael Russell,Michael,Russell,243.17249109999997,true
Dwayne Johnson,Dwayne,Johnson,287.49328560000004,true
Patty Smith,Patty,Smith,180.2344257,true
Deanna Sherman,Deanna,Sherman,99.79911842,
Douglas Francis,Douglas,Francis,161.7688908,true
Vicki Diaz,Vicki,Diaz,18.64987672,
Robin Phillips,Robin,Phillips,244.9119836,true
Travis Rice,Travis,Rice,141.4988254,true
Ashley Rocha,Ashley,Rocha,50.00303731,
Sarah Jacobson,Sarah,Jacobson,80.48182457,
Kayla Shannon,Kayla,Shannon,98.91531394,
Sean Wang DDS,Sean,DDS,220.62821769999996,true
Richard Estrada,Richard,Estrada,49.16869151,
Joseph Torres,Joseph,Torres,150.1237842,true
Kim Jones,Kim,Jones,18.8434377,
Melissa Tanner,Melissa,Tanner,269.1840299,true
Jackson Cline,Jackson,Cline,64.31251721,
Sonya Foster,Sonya,Foster,296.2155012,true
Allen Williams,Allen,Williams,15.390831699999998,
Mr. Thomas Rivera,Thomas,Rivera,95.22843716,
Jamie Silva,Jamie,Silva,296.8244075,true
Kathleen Moore,Kathleen,Moore,92.50052419,
Evelyn Pineda,Evelyn,Pineda,169.2289293,true
Kyle Peters,Kyle,Peters,106.79909520000001,true
Anthony Cruz,Anthony,Cruz,49.10199817,
Eric Flores,Eric,Flores,122.9556986,true
Anna Richardson,Anna,Richardson,254.49526060000002,true
Gary Harper,Gary,Harper,47.59652592,
Linda Johnson,Linda,Johnson,115.3627815,true
Melissa Smith,Melissa,Smith,87.97994846,
Kristen Floyd,Kristen,Floyd,135.02304130000002,true
William Diaz,William,Diaz,192.1491355,true
Benjamin Smith,Benjamin,Smith,134.9052939,true
David Glenn,David,Glenn,216.2910463,true
Dawn Jones,Dawn,Jones,271.6144999,true
Joel Smith,Joel,Smith,14.4949198,
Mr. Larry Grimes MD,Larry,MD,268.6758682,true
Joseph Arnold,Joseph,Arnold,121.77504679999998,true
Kyle Long,Kyle,Long,241.62163909999998,true
Brittany Day,Brittany,Day,261.5460574,true
Bobby Ward,Bobby,Ward,63.5130358,
Thomas Lee,Thomas,Lee,254.07557709999998,true
Jennifer Hansen,Jennifer,Hansen,101.48873520000001,true
Lisa Murray,Lisa,Murray,176.0919174,true
Meghan Wade,Meghan,Wade,273.2303409,true
Tammie Brooks,Tammie,Brooks,84.88856949,
Maria Bell,Maria,Bell,264.07466519999997,true
Allison Livingston,Allison,Livingston,130.3484426,true
Chris Hays,Chris,Hays,17.34276379,
Courtney Mitchell,Courtney,Mitchell,78.93257699,
Shawn White,Shawn,White,188.0219256,true
Taylor Gomez,Taylor,Gomez,225.01982369999996,true
Jeremy Rodriguez,Jeremy,Rodriguez,200.7248208,true
April Garcia,April,Garcia,66.24555967,
Zachary Watts,Zachary,Watts,15.49738786,
Sarah Montoya,Sarah,Montoya,206.82125469999997,true
Jennifer Barker,Jennifer,Barker,89.18615989,
Sharon Garza,Sharon,Garza,72.35772704,
Tiffany Stevens,Tiffany,Stevens,196.379322,true
Ruben Armstrong,Ruben,Armstrong,93.69836738,
Dr. Jeffrey Spencer,Jeffrey,Spencer,271.162282,true
Nicole Ramsey,Nicole,Ramsey,247.8596071,true
Anne Roy,Anne,Roy,277.9324821000001,true
Lori Sanchez,Lori,Sanchez,285.6616405,true
Allison Chavez,Allison,Chavez,126.85021100000002,true
Marcus Adams,Marcus,Adams,36.47040894,
Mary Smith,Mary,Smith,16.31507197,
Joseph Reed,Joseph,Reed,178.45767419999999,true
Jason Armstrong,Jason,Armstrong,26.04525746,
Jeff Armstrong,Jeff,Armstrong,88.47561284,
Sean Shields,Sean,Shields,247.83952549999998,true
Jessica Allison,Jessica,Allison,104.742308,true
Christian Grant,Christian,Grant,99.11707917,
Edward Watson,Edward,Watson,180.35355890000002,true
Derrick Cooke,Derrick,Cooke,142.090116,true
Arthur Hall MD,Arthur,MD,235.9669749,true
Sean Patrick,Sean,Patrick,139.4507994,true
Heather Collins,Heather,Collins,127.39257340000002,true
Megan Gomez,Megan,Gomez,107.86244509999999,true
William Hale,William,Hale,114.6709254,true
Olivia Thompson,Olivia,Thompson,8.608441014,
Lori Torres,Lori,Torres,18.85827433,
Vickie Hernandez,Vickie,Hernandez,214.9321807,true
Kimberly Brown,Kimberly,Brown,40.3199327,
Sherry Meza,Sherry,Meza,182.8545499,true
Phillip Hansen,Phillip,Hansen,44.11611704,
Jeanette Knight,Jeanette,Knight,28.68694329,
Kayla Hanson,Kayla,Hanson,27.63036397,
James Johnston,James,Johnston,284.4290554,true
Dr. John Porter,John,Porter,53.72799274,
Elizabeth Reyes,Elizabeth,Reyes,93.68075684,
Kristen Henry,Kristen,Henry,77.00624357,
Claudia Anderson,Claudia,Anderson,160.3401593,true
Nicholas Webb,Nicholas,Webb,18.71038619,
Allison Cooper,Allison,Cooper,206.04210680000003,true
Zachary Barnes,Zachary,Barnes,280.7741315,true
Gregory Hill III,Gregory,III,265.9765808,true
Terry Ayers,Terry,Ayers,16.51163899,
Jessica Wilson,Jessica,Wilson,290.4095461,true
Daniel Frazier,Daniel,Frazier,190.3291917,true
Brian Welch,Brian,Welch,218.2505083,true
Carol Chavez,Carol,Chavez,123.18344270000001,true
Ethan Mcdonald,Ethan,Mcdonald,214.35031740000002,true
Gerald Martinez,Gerald,Martinez,57.54786356,
Eric King,Eric,King,59.87926423,
Sylvia Walters,Sylvia,Walters,110.94631319999999,true
Jonathan Lane,Jonathan,Lane,64.46710142,
Matthew Turner,Matthew,Turner,180.26287019999998,true
Jeffrey Bauer,Jeffrey,Bauer,30.51584181,
Jessica Shaffer,Jessica,Shaffer,54.90193651,
Chris Spencer,Chris,Spencer,251.3752831,true
Mary Clarke,Mary,Clarke,236.0529879,true
Timothy Mendoza,Timothy,Mendoza,105.98348159999999,true
Alicia Hoffman,Alicia,Hoffman,182.343699,true
Joseph Gardner,Joseph,Gardner,144.8091344,true
Rachael Rangel,Rachael,Rangel,297.94964060000007,true
Jeffrey Harrington,Jeffrey,Harrington,194.27163380000002,true
Sophia Randolph,Sophia,Randolph,158.543126,true
Debbie Freeman,Debbie,Freeman,275.8719167,true
Matthew Braun,Matthew,Braun,201.7749657,true
Sheri Hudson,Sheri,Hudson,268.3748402,true
Mary King,Mary,King,204.0785754,true
Beth Davis,Beth,Davis,155.0680648,true
Margaret Castillo,Margaret,Castillo,193.9063244,true
Tommy Sandoval,Tommy,Sandoval,172.283041,true
Christopher Hines,Christopher,Hines,46.55435299,
Richard Wright,Richard,Wright,208.35969690000002,true
Michael Brown,Michael,Brown,278.52308860000005,true
Nathan Yu,Nathan,Yu,134.1895098,true
Cameron Ford,Cameron,Ford,248.89213819999998,true
Carla Hayes,Carla,Hayes,265.3745759,true
Marissa Matthews,Marissa,Matthews,136.09257769999996,true
Dr. Samuel Thompson,Samuel,Thompson,237.15924159999997,true
Gary Figueroa,Gary,Figueroa,168.94476840000002,true
Michael West,Michael,West,146.88868490000002,true
Martin Walton,Martin,Walton,140.3400576,true
Zachary Lee,Zachary,Lee,8.667301582999999,
Christopher Stephenson,Christopher,Stephenson,67.01185633,
Eric Ortiz,Eric,Ortiz,117.72424579999999,true
Kara Pittman,Kara,Pittman,56.23964364,
Andrew Cowan,Andrew,Cowan,295.9391812,true
Rhonda Moss DDS,Rhonda,DDS,259.03975049999997,true
Sarah Williams,Sarah,Williams,92.82627714,
Carolyn Collins,Carolyn,Collins,236.24728880000004,true
Larry Mooney,Larry,Mooney,135.2701794,true
Laura Livingston,Laura,Livingston,294.25806989999995,true
Candace Mckenzie,Candace,Mckenzie,84.58145758,
Candace Wallace,Candace,Wallace,124.74645430000001,true
Jason White,Jason,White,218.43180409999997,true
Patricia Reynolds,Patricia,Reynolds,89.01176826,
Michael Ellison,Michael,Ellison,244.47171060000002,true
Melissa Robles,Melissa,Robles,238.45609669999996,true
Heidi Fry,Heidi,Fry,109.6264717,true
James Smith,James,Smith,163.95738559999998,true
Charles Ruiz,Charles,Ruiz,48.45811847,
Stephanie Green DDS,Stephanie,DDS,9.144974191000001,
Stacey Garcia,Stacey,Garcia,106.61920390000002,true
Glenda Burke,Glenda,Burke,206.3635063,true
Zachary Alvarez,Zachary,Alvarez,104.052369,true
Rachel Shaw,Rachel,Shaw,2.448211506,
Carmen Beard,Carmen,Beard,269.623685,true
Tony Daniels,Tony,Daniels,186.90357749999998,true
Randy Mora,Randy,Mora,70.74105982,
George Aguirre,George,Aguirre,128.9497508,true
James Miller,James,Miller,297.0405639,true
Jacqueline Williams,Jacqueline,Williams,17.30622156,
April Taylor,April,Taylor,121.2898903,true
Robert Johnson,Robert,Johnson,131.62377790000002,true
Gary White,Gary,White,280.9706506,true
Kim Lowe,Kim,Lowe,192.7758756,true
Samantha Jones,Samantha,Jones,136.3415564,true
Randy Lozano,Randy,Lozano,16.30104965,
Arthur Chavez,Arthur,Chavez,6.903795238,
